x	y	tooltip	PANEL
0.282608695652174	0.0540715575741189	Merge branch 'm	4
0.282608695652174	0.0464847178135566	Merge branch 'm	4
0.282608695652174	0.0459989531940468	Merge branch 'm	4
0.173913043478261	0.0478173293888212	Merge pull requ	4
0.173913043478261	0.0458539853862738	Merge pull requ	4
0.173913043478261	0.0462181869233811	Merge pull requ	4
0.0652173913043478	0.050967314941401	Fix existing pa	4
0.0652173913043478	0.0458884573793086	Fix existing pa	4
0.0652173913043478	0.0455979536618873	Fix existing pa	4
0.173913043478261	0.0476634863291102	Merge pull requ	4
0.173913043478261	0.046354836862188	Merge pull requ	4
0.173913043478261	0.0459853884219121	Merge pull requ	4
